fecha_libro,descripcion_libro,monto_libro,referencia_libro,cuenta_contable
2026-01-07,PAGO SERVICIO AGUA,-125000.0,LB2030,5202
2026-01-10,DEP CLIENTE SIGMA,125000.0,LB2031,4101
2026-01-31,AJUSTE,7500.0,LB2032,2101
2026-02-10,ABONO CLIENTE DELTA,125000.0,LB2033,1101
2026-03-03,TRANSF CLIENTE LUNA,77500.0,LB2034,5301
2026-02-08,INGRESO POR CLIENTE GAMMA,87500.0,LB2035,1101
2026-02-07,AJUSTE CONTABLE,-12000.0,LB2036,5202
2026-01-22,CANCELACION TELEFONIA CORPORATIVA,-3500.0,LB2037,2101
2026-02-12,ABONO CLIENTE GAMMA,112500.0,LB2038,1101
2026-02-05,TRANSFERENCIA CLIENTE BETA,87500.0,LB2039,4101
2026-01-25,GASTO BANCARIO,-2500.0,LB2040,5301
2026-01-04,PAGO A TELEFONIA CORPORATIVA,-3500.0,LB2041,2101
2026-02-05,ABONO CLIENTE BETA,74500.0,LB2042,5301
2026-02-14,ABONO CLIENTE NOVA,95000.0,LB2043,1101
2026-01-03,TRANSFERENCIA CLIENTE SIGMA,30000.0,LB2044,5901
2026-02-04,AJUSTE CONTABLE,5000.0,LB2045,1101
2026-01-05,INGRESO POR CLIENTE GAMMA,77500.0,LB2046,2101
2026-03-01,TRANSFERENCIA CLIENTE NOVA,125000.0,LB2047,5901
2026-02-17,TRANSFERENCIA CLIENTE SIGMA,42000.0,LB2048,2101
2026-01-14,CARGO BANCARIO,-1250.0,LB2049,4101
2026-02-25,TRANSFERENCIA CLIENTE BETA,45250.0,LB2050,2101
2026-01-24,CARGO BANCARIO,-9800.0,LB2051,1101
2026-01-18,CANCELACION SERVICIO INTERNET,-250000.0,LB2052,5901
2026-01-09,ABONO CLIENTE NOVA,125000.0,LB2053,1101
2026-02-18,TRANSF CLIENTE SIGMA,60000.0,LB2054,5202
2026-01-17,GASTO BANCARIO,-2500.0,LB2055,1101
2026-01-28,ABONO CLIENTE DELTA,60000.0,LB2056,5901
2026-02-03,GASTO BANCARIO,-3500.0,LB2057,4101
2026-01-10,DEP CLIENTE OMEGA,77500.0,LB2058,5901
2026-01-29,CANCELACION SERVICIOS TECNICOS CR,-5000.0,LB2059,4101
2026-01-27,INGRESO POR CLIENTE NOVA,250000.0,LB2060,5901
2026-02-04,TRANSFERENCIA CLIENTE BETA,30000.0,LB2061,5901
2026-01-02,INGRESO POR CLIENTE DELTA,45200.0,LB2062,5301
2026-01-29,CARGO BANCARIO,-1250.0,LB2063,5901
2026-01-16,PAGO A SERVICIO ELECTRICO,-15400.0,LB2064,5202
2026-02-06,INGRESO POR CLIENTE LUNA,125000.0,LB2065,2101
2026-02-16,GASTO BANCARIO,-3500.0,LB2066,5301
2026-02-23,ABONO CLIENTE GAMMA,74500.0,LB2067,2101
2026-02-22,CARGO BANCARIO,-3500.0,LB2068,4101
2026-01-20,DEPOSITO CLIENTE OMEGA,95000.0,LB2069,2101
2026-01-11,INGRESO POR CLIENTE SIGMA,74500.0,LB2070,5202
2026-01-05,INGRESO POR CLIENTE LUNA,45250.0,LB2071,5301
2026-01-31,ASIENTO AJUSTE,5000.0,LB2072,5202
2026-02-07,CARGO BANCARIO,-9800.0,LB2073,5202
2026-01-01,INGRESO POR CLIENTE SIGMA,250000.0,LB2074,5901
2026-02-12,INGRESO POR CLIENTE LUNA,45200.0,LB2075,5301
2026-02-10,PAGO PROVEEDOR XYZ,-45200.0,LB2076,2101
2026-01-12,ABONO CLIENTE SIGMA,60000.0,LB2077,5202
2026-02-23,TRANSF CLIENTE SIGMA,30000.0,LB2078,5901
2026-02-11,DEPOSITO CLIENTE NOVA,95000.0,LB2079,2101
2026-01-11,INGRESO POR CLIENTE ALFA,42000.0,LB2080,5901
2026-02-15,TRANSFERENCIA CLIENTE DELTA,250000.0,LB2081,5301
2026-01-20,CANCELACION PROVEEDOR ABC,-60000.0,LB2082,5301
2026-02-16,EGRESO SERVICIO INTERNET,-15400.0,LB2083,1101
2026-02-20,PAGO SUMINISTROS DEL VALLE,-95000.0,LB2084,5901
2026-02-23,DEPOSITO CLIENTE NOVA,125000.0,LB2085,5202
2026-02-15,REGULARIZACION,12000.0,LB2086,5901
2026-02-24,DEP CLIENTE OMEGA,42000.0,LB2087,5202
2026-01-22,COMISION BANCARIA,-3500.0,LB2088,5202
2026-02-08,TRANSF CLIENTE LUNA,42000.0,LB2089,5202
2026-02-02,COMISION BANCARIA,-2500.0,LB2090,4101
2026-01-04,TRANSF CLIENTE OMEGA,77500.0,LB2091,2101
2026-02-19,PAGO SERVICIO ELECTRICO,-74500.0,LB2092,5202
2026-01-14,CANCELACION PROVEEDOR ABC,-5000.0,LB2093,5901
2026-02-05,CANCELACION SERVICIO ELECTRICO,-74500.0,LB2094,4101
2026-01-18,EGRESO SUMINISTROS DEL VALLE,-5000.0,LB2095,4101
2026-01-12,ABONO CLIENTE GAMMA,95000.0,LB2096,1101
2026-01-17,COMISION BANCARIA,-3500.0,LB2097,1101
2026-01-03,EGRESO SERVICIOS TECNICOS CR,-1250.0,LB2098,5901
2026-01-07,COMISION BANCARIA,-9800.0,LB2099,5202
2026-01-05,DEPOSITO CLIENTE NOVA,45200.0,LB2100,1101
2026-02-10,INGRESO EFECTIVO CLIENTE BETA,42000.0,LB2101,5301
2026-01-11,REGULARIZACION,-5000.0,LB2102,5301
2026-02-24,DEPOSITO CLIENTE LUNA,30000.0,LB2103,5301
2026-02-11,AJUSTE CONTABLE,-5000.0,LB2104,2101
2025-12-31,INGRESO POR CLIENTE BETA,45200.0,LB2105,4101
2026-01-17,TRANSFERENCIA CLIENTE OMEGA,74500.0,LB2106,4101
2026-01-28,EGRESO PLATAFORMA SOFTWARE,-45250.0,LB2107,4101
2026-01-04,COMISION BANCARIA,-1250.0,LB2108,5202
2026-01-27,INGRESO POR CLIENTE OMEGA,74500.0,LB2109,1101
2026-02-09,PAGO A SERVICIO INTERNET,-250000.0,LB2110,2101
2026-02-19,AJUSTE CONTABLE,-12000.0,LB2111,2101
2026-01-11,DEPOSITO CLIENTE LUNA,30000.0,LB2112,5202
2026-02-12,ABONO CLIENTE NOVA,60000.0,LB2113,5202
2026-02-25,PAGO SUMINISTROS DEL VALLE,-15400.0,LB2114,1101
2026-02-18,INGRESO POR CLIENTE NOVA,87500.0,LB2115,5202
2026-02-16,TRANSF CLIENTE NOVA,42000.0,LB2116,2101
2026-01-27,TRANSF CLIENTE GAMMA,30000.0,LB2117,5901
2026-01-23,PAGO LOGISTICA CENTRAL,-60000.0,LB2118,1101
2026-01-08,ABONO CLIENTE BETA,250000.0,LB2119,5301
2026-02-16,ASIENTO MANUAL NO REFLEJADO BANCO,-15000.0,LB9991,5901
2026-02-20,INGRESO REGISTRADO PENDIENTE BANCO,88888.0,LB9992,4101
