fecha_banco,descripcion_banco,monto_banco,referencia_banco
2026-01-01,TRANSF CLIENTE OMEGA,77500.0,TRX1091
2026-02-18,EGRESO SERVICIO ELECTRICO,-74500.0,TRX1092
2026-01-15,PAGO A PROVEEDOR ABC,-5000.0,TRX1093
2026-02-03,EGRESO SERVICIO ELECTRICO,-74500.0,TRX1094
2026-01-17,PAGO SUMINISTROS DEL VALLE,-5000.0,TRX1095
2026-01-14,TRF CLIENTE GAMMA,95000.0,TRX1096
2026-01-15,COMISION BANCARIA,-3500.0,TRX1097
2026-01-03,CANCELACION SERVICIOS TECNICOS CR,-1250.0,TRX1098
2026-01-07,COMISION MES,-9800.0,TRX1099
2026-01-04,INGRESO CLIENTE NOVA,45200.0,TRX1100
2026-02-10,DEP CLIENTE BETA,42000.0,TRX1101
2026-01-08,AJUSTE CONTABLE,-5000.0,TRX1102
2026-02-25,ABONO CLIENTE LUNA,30000.0,TRX1103
2026-02-10,AJUSTE CONTABLE,-5000.0,TRX1104
2026-01-01,PAGO TRANSFERENCIA CLIENTE BETA,45200.0,TRX1105
2026-01-19,TRANSFERENCIA CLIENTE OMEGA,74500.0,TRX1106
2026-01-28,PAGO A PLATAFORMA SOFTWARE,-45250.0,TRX1107
2026-01-04,CARGO BANCARIO,-1250.0,TRX1108
2026-01-26,PAGO TRANSFERENCIA CLIENTE OMEGA,74500.0,TRX1109
2026-02-08,PAGO SERVICIO INTERNET,-250000.0,TRX1110
2026-02-18,REGULARIZACION,-12000.0,TRX1111
2026-01-12,INGRESO CLIENTE LUNA,30000.0,TRX1112
2026-02-12,TRANSF CLIENTE NOVA,60000.0,TRX1113
2026-02-22,PAGO SUMINISTROS DEL VALLE,-15400.0,TRX1114
2026-02-19,TRANSFERENCIA CLIENTE NOVA,87500.0,TRX1115
2026-02-18,PAGO TRANSFERENCIA CLIENTE NOVA,42000.0,TRX1116
2026-01-29,TRANSFERENCIA CLIENTE GAMMA,30000.0,TRX1117
2026-01-20,PAGO LOGISTICA CENTRAL,-60000.0,TRX1118
2026-01-08,PAGO TRANSFERENCIA CLIENTE BETA,250000.0,TRX1119
2026-02-14,TRANSFERENCIA CLIENTE ESPECIAL,133333.0,TRX9991
2026-02-18,AJUSTE BANCARIO EXTRAORDINARIO,-22000.0,TRX9992
